glottocode,LANGUAGE,FAMILY,MARKER,GLOSS,STATUS,AFFIXED_TO,NEG_SCOPING_OVER,AFFIX_SCOPING_OVER_NEG,EXAMPLE,GLOSS,TRANSLATION,COMMENT,REFERENCE,TYPE_OF_REFERENCE,PAGE,PAGE_EXTRA,,,
agua1253,Awajun,Chicham,-tʃau ,NEG.REL,suffix,"v, n, adj",IPFV,,nĩ tu-mama-i-u-ai yu-a-tʃau,3SG say-REFL-LOAF-REL-COP:3:DECL eat-IMPFV-NEG:REL,he said he hadn’t eaten (beans) ,,Overall 2007,Grammar,313,,,,
agua1253,Awajun,Chicham,-tsu,NEG,suffix,v,PL ,,Dita-ka wɨkaɨɰa-mai-inu a-ina-tsu-wa-i,3PL-FOC walk-POT-NR COP-PL:IMPF-NEG-3-DECL,They can’t walk,Present Tense and Reportive Past,Overall 2007,Grammar,300,,,,
agua1253,Awajun,Chicham,-ʧau,NEG.REL,suffix,"v, n, adj",PL ,,Tuhã nĩ waina-tʃau-ka waina-ina-tsu-u-a-tsa-tai ,but 3sg see-NEG:REL-FOC see-PL:IMPFV-NEG-REL-COP-SPEC1-SPEC2,“but he who doesn’t know will probably never know”,,Overall 2007,Grammar,474,,,,
agua1253,Awajun,Chicham,-ʧau,NEG.REL,suffix,"v, n, adj",POSS,,Hu-ka mi-nau-tʃau,PRX-FOC 1SG-POSS-NEG:REL,This is not mine,,Overall 2007,Grammar,482,,,,
agua1253,Awajun,Chicham,-tʃa ,NEG,suffix,v,POT,,Wi-ka waina-mai-tʃa-maia-ha-i yakuma-na-ka,1SG-FOC see-POT-NEG-INTPAST-1SG-DECL howler.monkey-ACC-FOC,I couldn’t see the howler monkey,,Overall 2007,Grammar,300,,,,
agua1253,Awajun,Chicham,-tsu,NEG,suffix,v,POT,,Antu-mai-tsu-u-i au kantama-mau-ka,hear-POT-NEG-3-DECL DST sing-NON.A/S:REL-FOC,that song cannot be heard,Present Tense and Reportive Past,Overall 2007,Grammar,463,,,,
agua1253,Awajun,Chicham,-tʃau ,NEG.REL,suffix,"v, n, adj",POT,,Inima-ta-na-ʃa inima-mai-inu-tʃau dɨkapɨ-ia-ha-i,Ask-ACTNR-ACC-ADD ask-POT-NR-NEG:REL feel-REMPAST-1SG-DECL,I couldn’t even ask the question,,Overall 2007,Grammar,430,,,,
huam1247,Wampis,Chicham,-ʦu ,NEG,suffix,v,,ATT,un ʦauanta=a nui=ka muuká suku-á-mau=ka a-ʦu-sa-u=iti,NON.VIS day=COP there=FOC muuká.ACC shrink.head-HIAF-NMLZ=FOC exit-NEG-ATT-NMLZ=COP.3+DECL,"That day there (lit. That where it was a day), there was no head-shrinking.",Appears with imperfective stem and existential verb a. ,Peña 2016,Grammar,385,,,,
huam1247,Wampis,Chicham,-ʦu ,NEG,suffix,v,,DECL,aʦa nua=ka ta-ina-ʦu-u-i   ,no woman=FOC arrive-PL.IPFV-NEG-3.SBJ-DECL,"No, the women do not arrive",Appears with imperfective stem and existential verb a. ,Peña 2016,Grammar,682,"651, 748",,,
huam1247,Wampis,Chicham,-ʧa,NEG,suffix,v,,DECL,Auaruna ha-ʧa-mia-ji,Awajun die-NEG-DIST-PT-3.PT+DECL,The Awajun did not die,Elsewhere,Peña 2016,Grammar,638,,,,
huam1247,Wampis,Chicham,-ʧau,Neg.NMLZ,suffix,"v, adj",,DECL,ʃuara-ʧau=aiti,Person-NEG.NMLZ=COP.3+DECL,it is not a person,Copula,Peña 2016,Grammar,748,298,,,
huam1247,Wampis,Chicham,-ʧa,NEG,suffix,v,,FUT ,amɨ=ka uuta-i-pa uutɨ-a-mɨ-ka íika-ma-ka-ʧa-tata-mɨ,2SG=FOC cry-APPR-PROH cry.IPFV-IPFV-2SG.SBJ-COND avenge-REFL-INTENS-NEG-DEF.FUT-2SG.SBJ+DECL,"Don’t cry, if you cry, you won’t take revenge on those who killed your brother",,Peña 2016,Grammar,656,,,,
huam1247,Wampis,Chicham,-ʧa,NEG,suffix,v,,INTS,iama nankama-tʃa-ka Mikuta nahaana-ra-u a=nu=haĩ,now happen-NEG-INTENS Mikut make-DISTR-NMLZ cop=NON.VIS=haĩ,with that Mkut who had transformed at the beginning,,Peña 2016,Grammar,524,,,,
huam1247,Wampis,Chicham,-ʦu ,NEG,suffix,v,,IPFV,nihamãʧi a-ʦu-a-ua-i,manioc.beer exist-NEG-IPFV-3SG-DECL,There is not manioc beer,Appears with imperfective stem and existential verb a. ,Peña 2016,Grammar,748,,,,
huam1247,Wampis,Chicham,-ʦu ,NEG,suffix,v,,NMLZ,un ʦauanta=a nui=ka muuká suku-á-mau=ka a-ʦu-sa-u=iti,NON.VIS day=COP there=FOC muuká.ACC shrink.head-HIAF-NMLZ=FOC exit-NEG-ATT-NMLZ=COP.3+DECL,"That day there (lit. That where it was a day), there was no head-shrinking.",Appears with imperfective stem and existential verb a. ,Peña 2016,Grammar,385,,,,
huam1247,Wampis,Chicham,-ʦu ,NEG,suffix,v,,PERSON,amɨ=ka iukuma-ta nɨka-ʦu-mɨ,2SG=FOC swim-NMLZ know+IPFV-NEG-2SG.SBJ+DECL,You don’t know how to swim,Appears with imperfective stem and existential verb a. ,Peña 2016,Grammar,638,"651, 748",,,
huam1247,Wampis,Chicham,-ʧa,NEG,suffix,v,,PERSON,Auaruna ha-ʧa-mia-ji,Awajun die-NEG-DIST-PT-3.PT+DECL,The Awajun did not die,Elsewhere,Peña 2016,Grammar,638,,,,
huam1247,Wampis,Chicham,-ʧau,Neg.NMLZ,suffix,"v, adj",,PERSON,tʃitʃa-ma-ru-mai-inu-tʃau=aita-ha-i,Speak-REFL-APPL-POT-NMLZ-NEG.NMLZ=COP-1SG.SBJ-DECL,I cannot advice [him] (Lit. I cannot be a speaker myself for him),,Peña 2016,Grammar,298,,,,
huam1247,Wampis,Chicham,-ʧa,NEG,suffix,v,,PL ,ʃiampi=na paantama hia-mau=haĩ=na=ʃa iu-á-ʧa-ara-ma-ji,hen=ACC plantain roast-NMLZ=COM=ACC=SPEC eat-HIAF-NEG-PL-REC.PT-3SBJ+DECL,Maybe they ate hen with roasted plantains,No negative polarity?,Peña 2016,Grammar,523,847,,,
huam1247,Wampis,Chicham,-ʧa,NEG,suffix,v,,PST,ui=ka taiu=na=ka pɨnkɨ nɨka-ʧa-mia-ha-i,1SG=FOC oilbird=ACC=FOC nothing know-NEG-DIST.PT-1SG.SBJ+DECL,I did not know anything about Cueva de los Tayos…,,Peña 2016,Grammar,454,,,,
huam1247,Wampis,Chicham,-ʦu ,NEG,suffix,v,APPL,,turaʃa nuĩ nua nahaana-ra-u tíi=a=hu a-ru-ma-mai-ʦu-ĩ,but there woman make-DISTR-NMLZ ints=COP=PROX exist-APPL-REFL-POT-NEG-1SG/3.ds,"But, there, a woman transformed so big [i.e. transformed into a mountain] cannot exist.",Appears with imperfective stem and existential verb a. ,Peña 2016,Grammar,635,,,,
huam1247,Wampis,Chicham,-ʧau,Neg.NMLZ,suffix,"v, adj",APPL,,tʃitʃa-ma-ru-mai-inu-tʃau=aita-ha-i,Speak-REFL-APPL-POT-NMLZ-NEG.NMLZ=COP-1SG.SBJ-DECL,I cannot advice [him] (Lit. I cannot be a speaker myself for him),,Peña 2016,Grammar,298,,,,
huam1247,Wampis,Chicham,-ʧa,NEG,suffix,v,DISTR,,aiʃi-ru=na=ka ampi-ra-ʧa-ha=api ,husband-1SG=ACC=FOC save.food-DISTR-NEG-1SG.SBJ=sud.realz,"Oops, I didn’t save food for my husband!",,Peña 2016,Grammar,786,,,,
huam1247,Wampis,Chicham,-ʧau,Neg.NMLZ,suffix,"v, adj",DISTR,,paʧima-ra-ʧa-mau=aita-ha-i,Mix-DISTR-NEG.NMLZ=COP-1SG.SBJ-DECL,I am not mixed,,Peña 2016,Grammar,775,,,,
huam1247,Wampis,Chicham,-ʧa,NEG,suffix,v,INTS,,amɨ=ka uuta-i-pa uutɨ-a-mɨ-ka íika-ma-ka-ʧa-tata-mɨ,2SG=FOC cry-APPR-PROH cry.IPFV-IPFV-2SG.SBJ-COND avenge-REFL-INTENS-NEG-DEF.FUT-2SG.SBJ+DECL,"Don’t cry, if you cry, you won’t take revenge on those who killed your brother",INTS= intensifier,Peña 2016,Grammar,656,,,,
huam1247,Wampis,Chicham,-ʧau,Neg.NMLZ,suffix,"v, adj",INTS,,nu=ka aɨntsu=ka kaka-ka-ʧau ,NON.VIS=FOC man=FOC be.strong-INTENS-NEG.NMLZ,That man is not strong,INTS= intensifier,Peña 2016,Grammar,734,,,,
huam1247,Wampis,Chicham,-ʦu ,NEG,suffix,v,IPFV,,iurata uutɨ-a-tsu-u-i,too.much cry.IPFV-IPFV-NEG-3.SBJ-DECL,He is crying too much,"The intensifiers can occur in constructions in which the verb is formally negated, even though the predication has a positive meaning",Peña 2016,Grammar,380,"332, 346, 651,",,,
huam1247,Wampis,Chicham,-ʧau,Neg.NMLZ,suffix,"v, adj",IPFV,,mã-karata-u=a=ka nĩ=kɨ=ka ihamu-a-ʧau ,kill.1PL.OBJ-NMLZ=COP=FOC 3SG=RESTR=FOC jump-IPFV-NEG.NMLZ,"The murderer, he did not jump alone, ",,Peña 2016,Grammar,522,337,,,
huam1247,Wampis,Chicham,-ʦu ,NEG,suffix,v,PL ,,aʦa nua=ka ta-ina-ʦu-u-i   ,no woman=FOC arrive-PL.IPFV-NEG-3.SBJ-DECL,"No, the women do not arrive",PL.IPFV,Peña 2016,Grammar,682,,,,
huam1247,Wampis,Chicham,-ʦu ,NEG,suffix,v,POT,,nu=ka a-mai-ʦu-hi  ,that=FOC COP-POT-NEG-1PL.SBJ+DECL,We cannot be that,Appears with imperfective stem and existential verb a. ,Peña 2016,Grammar,635,,,,
huam1247,Wampis,Chicham,-ʧau,Neg.NMLZ,suffix,"v, adj",POT,,tʃitʃa-ma-ru-mai-inu-tʃau=aita-ha-i,Speak-REFL-APPL-POT-NMLZ-NEG.NMLZ=COP-1SG.SBJ-DECL,I cannot advice [him] (Lit. I cannot be a speaker myself for him),,Peña 2016,Grammar,298,,,,
huam1247,Wampis,Chicham,-ʦu ,NEG,suffix,v,REFL,,turaʃa nuĩ nua nahaana-ra-u tíi=a=hu a-ru-ma-mai-ʦu-ĩ,but there woman make-DISTR-NMLZ ints=COP=PROX exist-APPL-REFL-POT-NEG-1SG/3.ds,"But, there, a woman transformed so big [i.e. transformed into a mountain] cannot exist.",Appears with imperfective stem and existential verb a. ,Peña 2016,Grammar,635,,,,
huam1247,Wampis,Chicham,-ʧa,NEG,suffix,v,REFL,,amɨ=ka uuta-i-pa uutɨ-a-mɨ-ka íika-ma-ka-ʧa-tata-mɨ,2SG=FOC cry-APPR-PROH cry.IPFV-IPFV-2SG.SBJ-COND avenge-REFL-INTENS-NEG-DEF.FUT-2SG.SBJ+DECL,"Don’t cry, if you cry, you won’t take revenge on those who killed your brother",,Peña 2016,Grammar,656,,,,
huam1247,Wampis,Chicham,-ʧau,Neg.NMLZ,suffix,"v, adj",REFL,,tʃitʃa-ma-ru-mai-inu-tʃau=aita-ha-i,Speak-REFL-APPL-POT-NMLZ-NEG.NMLZ=COP-1SG.SBJ-DECL,I cannot advice [him] (Lit. I cannot be a speaker myself for him),,Peña 2016,Grammar,298,,,,
epen1239,Epena,Chocoan,-ʔe  ,NEG,clitic,,,CERT,či nawekʰáa-pa ũri-ʔe-pɨ́-kʰa ba-pá-či,REF stepmother-ERG hear-NEG-CERT-like be-HAB-PST,Her stepmother was/acted as if she did not hear hear,,Harms (1994),Grammar Sketch,80,,,,
epen1239,Epena,Chocoan,-ʔe ,NEG,clitic,,,DECL,mɨ wã-ʔé-da a-hí,I go-NEG-DECL say-PST,He said “ I am not going”,,Harms (1994),Grammar Sketch,114,,,,
epen1239,Epena,Chocoan,-kʰaa ,NEG.HAB,suffix,,,DECL,eperãa-rã́-pa táama kʰo-da-kʰáa-da a-hí,Person-PL-ERG snake eat-PL-NEG.HAB-DECL say-PST,“The epena do not eat snakes” he said,,Harms (1994),Grammar Sketch,136,,,,
epen1239,Epena,Chocoan,-naa,NEG.IMP,suffix,,,HORT ,pʰáta kʰo-naa-dáma,plantain eat-NEG.IMP-HORT,Let’s not eat plantain,,Harms (1994),Grammar Sketch,136,,,,
epen1239,Epena,Chocoan,-naa,NEG.IMP,suffix,,,IMP ,mɨ úsa pee-náa-hi,my dog kill-NEG.IMP-IMP,Don’t kill my dog,,Harms (1994),Grammar Sketch,16,,,,
epen1239,Epena,Chocoan,-naa,NEG.IMP,suffix,,,IMP.PL,pʰáta kʰo-náa-tɨ,plantain eat-NEG.IMP-IMP.PL,(you all) don’t eat plantains,,Harms (1994),Grammar Sketch,136,,,,
epen1239,Epena,Chocoan,-naa,NEG.IMP,suffix,,,PURP,Pɨ-či soo-á hara-páde a-hí wáa wɨ-naa-méra,your-? Whip-DAT tell-IMP say-PST more whip-NEG.IMP-PUR.DS,"She said,”Talk to your whip so that it won’t whip me any more!”",DS=different subject,Harms (1994),Grammar Sketch,137,,,,
epen1239,Epena,Chocoan,-ʔe ,NEG,clitic,,,Q(INTRG),sã́a-pu párã pore-dai-da-ʔé-ma? a-hí ,Why-CERT.CONTR you.PL fat-CMP-PL-NEG-INTRG say-PST,“Why is it that you don’t get fat (as the others have)?” she said,CMP= completed,Harms (1994),Grammar Sketch,123,,,,
epen1239,Epena,Chocoan,-ʔe  ,NEG,clitic,,,Q(POLAR),pã́-či wã-dá-i pɨ́rã wã-da-ʔe-kʰá a-hí,You-PL go-PL-might if go-PL-NEG-POLAR say-PST,"“If you are going to go, you should go, shouldn’t you?” she said",POLAR= Polar interrogative marker,Harms (1994),Grammar Sketch,59,,,,
epen1239,Epena,Chocoan,-kʰaa ,NEG.HAB,suffix,,,Q(POLAR),ai pɨ isapái pʰira-kʰaa-kʰá a-hí,INTJ you quickly run-NEG.HAB-POLAR say-PST,“Can you never run fast?” she said,,Harms (1994),Grammar Sketch,124,,,,
epen1239,Epena,Chocoan,-ʔe ,NEG,clitic,,,UNCERT,gigánte pidá-pɨ wãyáa bɨ-ʔe-páa a-hí,giant even-CERT pass.by be-NEG-UNCERT say-PST,"He said, “Couldn’t it even be a giant that goes through here?”",,Harms (1994),Grammar Sketch,125,,,,
epen1239,Epena,Chocoan,-ʔe ,NEG,clitic,,CMP,,sã́a-pu párã pore-dai-da-ʔé-ma? a-hí ,Why-CERT.CONTR you.PL fat-CMP-PL-NEG-INTRG say-PST,“Why is it that you don’t get fat (as the others have)?” she said,CMP= completed,Harms (1994),Grammar Sketch,123,,,,
epen1239,Epena,Chocoan,-ʔe ,NEG,clitic,,OBJ,,sĩpanáa-rã pída pee-tʰaa-hi-da-ʔe-kʰá mɨ wárra,Savage-PL even kill-OBJ-PST-PL-NEG-POLAR my son,Haven’t the wild Indians killed my son? ,,Harms (1994),Grammar Sketch,128,,,,
epen1239,Epena,Chocoan,-kʰaa ,NEG.HAB,suffix,,PL,,eperãa-rã́-pa táama kʰo-da-kʰáa,Person-PL-ERG snake eat-PL-NEG.HAB,The epena people do not eat snakes,,Harms (1994),Grammar Sketch,15,,,,
epen1239,Epena,Chocoan,-ʔe ,NEG,clitic,,PL,,wã-da-ʔé,Go-PL-NEG,They are not going,,Harms (1994),Grammar Sketch,103,,,,
epen1239,Epena,Chocoan,-ʔe ,NEG,clitic,,PST,,José-pa pʰata kʰo-hi-ʔe-kʰa,Jose-ERG plantain eat-PST-NEG-POLAR,Didn’t José eat the plantain? ,,Harms (1994),Grammar Sketch,124,,,,
epen1239,Epena,Chocoan,-ʔe  ,NEG,clitic,,,,José-pa pʰata kʰo-ʔé pa-hí,Jose-ERG plantain eat-NEG AUX-PST,José did not eat the plantain,,Harms (1994),Grammar Sketch,15,,,,
moco1246,Mocoví,Guaicurian,se,NEG,proclitic,,PERSON,,Se-s-aʔde:n,NEG-1.ACC-know,I don’t know ,,Grondona (1998),Grammar,18,,,,
bora1263,Bora,Huitotoan,-tʰɯ́ ,NEG,suffix,,,FRUS,tsʰaˀ mɯ̀ʔà mɛ̀ kʰɯkpà-kʰà,not we.ex SAP be.ill-NEG-FRS-<t>,"If we (Ex.) had slept well, we would not have gotten sick",,Thiesen & Weber 2012,Grammar,78,,,,
bora1263,Bora,Huitotoan,-tʰɯ́ ,NEG,suffix,,FRUS,,kpáhákʰɯ́-ɾá-tʰɯ̀ɯ́-:bɛ̀,Know-frs-NEG-sIn,"bewildered, stunned",,Thiesen & Weber 2012,Grammar,109,,,,
bora1263,Bora,Huitotoan,-tʰɯ́ ,NEG,suffix,,FUT,,Ímíˀ  ámɯʔà mɛ kʰɯkpà-ʔàˣʧʰí: tsʰ aɂ ámɯʔà mɛ ʧɛmɛ-í-tʲʰɯ-ɾó-ʔì,Good you.pl SAP sleep-if not you SAP be.ill-FUT-NEG-FRS-<t>,"If you (pl) sleep well, you are not likely to get sick.",,Thiesen & Weber 2012,Grammar,126,127-150,,,
bora1263,Bora,Huitotoan,-tʰɯ́ ,NEG,suffix,,go.to(.do),,tsʰ aɂ ò má˟tʃʰò-tʰɛ-tʰɯ-(nɛ) ,no I eat-go.do-NEG-<n>,I did not go to eat,,Thiesen & Weber 2012,Grammar,94,,,,
muru1274,Murui (Bue),Huitotoan,-ñe ,NEG,suffix,,,CERT,joko-ri-zai-aka-ñe-dɨ-kue=dɨ,wash-DUR-ANDTV-DES-NEG-LK-1sg=CERT,I dont want to go washing,,Wojtylak (2020) ,Grammar,319,,,,
muru1274,Murui (Bue),Huitotoan,-ñe ,NEG,suffix,,,FUT ,joko-ri-zai-aka-ñe-itɨ-kue=dɨ,Wash-DUR-ANDTV-DES-NEG-FUT.LK-1sg=CERT,I will not want to go washing ,FUT.LK= ,Wojtylak (2020) ,Grammar,7,329,,,
muru1274,Murui (Bue),Huitotoan,-ñe ,NEG,suffix,,,PERSON,Ɨɨ-ñe-dɨ-kue,swim-NEG-LK-1sg,I don’t swim,,Wojtylak (2020) ,Grammar,430,,,,
muru1274,Murui (Bue),Huitotoan,-ñe ,NEG,suffix,,,PRIV,Maɨjɨ-ñe-no bi-tɨ-kue,Work-NEG-PRIV come-LK-1sg,I came without having worked,,Wojtylak (2020) ,Grammar,312,335,,,
muru1274,Murui (Bue),Huitotoan,-ñe ,NEG,suffix,,,REP,Baa! Oo-dora i-ñe-d-e=ta,THERE 2sg-CLF.REP:COMPUTER.Sp exist-NEG-LK-3=REP,There! Your (computer) is gone! (reportedly),,Wojtylak (2020) ,Grammar,6,,,,
muru1274,Murui (Bue),Huitotoan,-ñe ,NEG,suffix,,,UNCERT,kaɨ komui-ta-tɨ-ñaiño jo-fo-mo i-ñe-d-e=za,1pl grow-CAUS-LK-CLF:PR.F house-CLF:CAV-LOC exist-NEG-LK-3=UNCERT,Our caretaker (lit. Female who makes grow) is not home,,Wojtylak (2020) ,Grammar,137,,,,
muru1274,Murui (Bue),Huitotoan,-ñe ,NEG,suffix,,ATTR,,nia terefono-re-ñe-dɨ-kue uku-be i-ñe-d-e=za ,still phone.sp-ATT-NEG-LK-1sg money-CLF:LEAF exist-Neg-LK-3=UNCERT,I dont have a phone yet (lit. I dont possess a phone)  there isn’t money (for it),ATT = Attributive,,Wojtylak (2020) ,Grammar,251,,,
muru1274,Murui (Bue),Huitotoan,-ñe ,NEG,suffix,,CAUS,,Bai-mɨe yɨkɨ-aɨ kue-na fa-ta-ñe-d-e ,that.FSH-CLF:PR.M fish-PL 1sg-N.S/A.TOP kill-CAUS-NEG-LK-3,He did not make me kill the fish,,Wojtylak (2020) ,Grammar,9,,,,
muru1274,Murui (Bue),Huitotoan,-ñe ,NEG,suffix,,DES,,joko-ri-zai-aka-ñe-itɨ-kue=dɨ,Wash-DUR-ANDTV-DES-NEG-FUT.LK-1sg=CERT,I will not want to go washing ,,Wojtylak (2020) ,Grammar,7,289,,,
muru1274,Murui (Bue),Huitotoan,-ñe ,NEG,suffix,,DUR,,joko-ri-zai-aka-ñe-itɨ-kue=dɨ,Wash-DUR-ANDTV-DES-NEG-FUT.LK-1sg=CERT,I will not want to go washing ,durative,Wojtylak (2020) ,Grammar,7,,,,
muru1274,Murui (Bue),Huitotoan,-ñe ,NEG,suffix,,EMPH,,Jɨgadɨ-ma-na rɨ-i-aka-ñe-dɨ-kue,Tapir-CLF:DR.M-N.S/A.TOP eat.meat-EMPH-DES-NEG-LK-1sg,I do not want to eat that tapir ,,Wojtylak (2020) ,Grammar,289,,,,
cofa1242,Cofán,isolate,mbi,NEG,clitic,,,ASS ,tra ke’i=ta=ki atesû=’fa=Ø=mbi=’ya,ANA 2PL=NEW.TOP=2 know=SBJ.PL=REAL=NEG=ASS,You don’t know these things,,Fischer & Hengeveld (2023),Grammar Sketch,104,,,,
cofa1242,Cofán,isolate,mbi,NEG,clitic,,,PERSON,ja’ñu=ja atesû=mbi=ngi akhepa-ji=ngi,now=CNTR.TOP know=NEG=1 forget-PRECUL=1,"Nowadays I don’t know, I’m forgetting (and will eventually have forgotten)",,Fischer & Hengeveld (2023),Grammar Sketch,102,,,,
cofa1242,Cofán,isolate,masia,NEG.HAB,clitic,,CAUS,,ka’ni-an=masia,enter-CAUS=FRUS=NEG.HAB,He was impenetrable,,Fischer & Hengeveld (2023),Grammar Sketch,104,,,,
cofa1242,Cofán,isolate,masia,NEG.HAB,clitic,,FRUS,,ka’ni-an=masia,enter-CAUS=FRUS=NEG.HAB,He was impenetrable,,Fischer & Hengeveld (2023),Grammar Sketch,104,,,,
cofa1242,Cofán,isolate,mbi,NEG,clitic,,IPFV,,tayupi=’kan jungue’sû=ma chava-’je=’fa=mbi=si,already=SIM IGNR2=ACC.REAL buy-IPFV=SBJ.PL=NEG=DS,because for a long time they have not been buying anything,,Fischer & Hengeveld (2023),Grammar Sketch,86,,,,
cofa1242,Cofán,isolate,mbi,NEG,clitic,,IRR,,tsa=ma=nda=tsû shunchhan=ya=mbi=’ya,ana=ACC.REAL=NEW.TOP=3 smell=IRR=NEG=ASS,He will not smell that,,Fischer & Hengeveld (2023),Grammar Sketch,100,,,,
cofa1242,Cofán,isolate,mbi,NEG,clitic,,PL,,tayupi=’kan jungue’sû=ma chava-’je=’fa=mbi=si,already=SIM IGNR2=ACC.REAL buy-IPFV=SBJ.PL=NEG=DS,because for a long time they have not been buying anything,,Fischer & Hengeveld (2023),Grammar Sketch,86,,,,
can1248,Kandozi,isolate,zi,NEG,enclitic,,,PERSON,-zi=ish,NEG=2SG,,Examples from table,Overal (2023),Grammar Sketch,640,,,,
can1248,Kandozi,isolate,zi,NEG,enclitic,,,PERSON,.zi=ini,NEG=1PL,,Examples from table,Overal (2023),Grammar Sketch,640,,,,
can1248,Kandozi,isolate,zi,NEG,enclitic,,,PERSON,-zi=is   ,NEG-2PL,,Examples from table,Overal (2023),Grammar Sketch,640,,,,
can1248,Kandozi,isolate,zi,NEG,enclitic,,,PERSON,-zi=ich,NEG-IMPER,,Examples from table,Overal (2023),Grammar Sketch,640,,,,
can1248,Kandozi,isolate,zi,NEG,enclitic,,PERSON,,un katunk-ee=zi kayupchi=atsi,1SG.PRO eat-1SG=NEG fish=ACC.LONG,I don’t eat fish,,Overal (2023),Grammar Sketch,645,,,,
can1248,Kandozi,isolate,hã,NEG,enclitic,,PERSON,,-ee=hã,3SG-NEG,,Examples from table,Overal (2023),Grammar Sketch,640,,,,
can1248,Kandozi,isolate,hã,NEG,enclitic,,PERSON,,-sinchina=hã,3PL-NEG,,Examples from table,Overal (2023),Grammar Sketch,640,,,,
can1248,Kandozi,isolate,hã,NEG,enclitic,,,,tama-tari-msa=hã,how-?-first=NEG,What is it like?,rhetorical question,Overal (2023),Grammar Sketch,647,,,,
urar1246,Urarina,Isolate,-a ,NEG,suffix,v,,ASS ,aj-ri-a-ʉ̃=ni,do-IRR-NEG-1sg/A=ASS,I would not do that,,Olawsky 2006,Grammar,70,,,,
urar1246,Urarina,Isolate,-ɲa,NEG,suffix,v,,ASS ,ʉ-ri-ɲa=ĩ bartolomé,Come-IRR-NEG:3ps/A=ASS Bartolomé,Bartolomé will not come,A-forms NEG:3PERSON,Olawsky 2007,Grammar,145,,,,
urar1246,Urarina,Isolate,-i,NEG,suffix,v,,EMPH,su-ana-i=tɕe=he=lʉ=ra,Kill-ILT-NEG:3PS/A-PLT=REP=REM=EMF,He (my in-law) is said not to have killed it (at that time),A-forms NEG:3PERSON,Olawsky 2006,Grammar,502,,,,
urar1246,Urarina,Isolate,-ɲe ,NEGF,enclitic,"v, n, adv",,EMPH,ninhauria kanʉ kurʉrʉ-ĩ ka=kwara-i=ɲe=ra,dont 1sg hide-PRT 1sg=see-2ps=NEGF-EMF,Don’t watch me [by] hiding yourself!,final negative enclitic,Olawsky 2006,Grammar,261,,,,
urar1246,Urarina,Isolate,-ene,NEG,suffix,v,,IRR,kaʉ kaa ena ne-nakaʉrʉ tabaʉrʉ=te u-urʉ-ne-re=ĩ,here this now be-those.who some=FOC die-PL-NEG-IRR:3ps/E=ASS,Some of those who are here now will not die,"For all E-,D-forms   // IRR+PERSON",Olawsky 2006,Grammar,328,,,,
urar1246,Urarina,Isolate,-a ,NEG,suffix,v,,OBJ PROCLITIC,i=tɕuara-ri-a-ʉ=ni=ta,2sg=see-IRR-NEG-1sg:ERG=ASS=FRS,I will not watch you,A-forms + 1PERSON CONTEXT,Olawsky 2006,Grammar,215,,,,
urar1246,Urarina,Isolate,-ɲe ,NEGF,enclitic,"v, n, adv",,OBJ PROCLITIC,ninhauria kanʉ kurʉrʉ-ĩ ka=kwara-i=ɲe=ra,dont 1sg hide-PRT 1sg=see-2ps=NEGF-EMF,Don’t watch me [by] hiding yourself!,final negative enclitic,Olawsky 2006,Grammar,261,,,,
urar1246,Urarina,Isolate,-a ,NEG,suffix,v,,PERSON,"hjaui ɲera, kwatia kaa kahia ka=atane=ke hjajni-a-akaanʉ  ",no not this over.here this=land=VLI urinate-NEG-1pl/ex,"No, we do not urinate in this world",,Olawsky 2006,Grammar,220,,,,
urar1246,Urarina,Isolate,-ene,NEG,suffix,v,,PERSON,Eseneta-ene-itɕe,believe-NEG-2PL,,,Olawsky 2006,Grammar,105,,,,
urar1246,Urarina,Isolate,-ene,NEG,suffix,v,,PERSON,"enʉa ari-anʉ=ne sajhjeĩ ne-ni-a=na haʉ, nii baja",tree seek-1SG/D=SUB although be-NEG-3ps/D=SUB because that after,"even though I looked for a stick, (as) there was none, [but] then…","For all E-,D-forms ",Olawsky 2006,Grammar,254,258-444,,,
urar1246,Urarina,Isolate,-a ,NEG,suffix,v,,PERSON,hajti kwitʉkʉ-a-ʉ ʉ-ri-tɕa=ĩ itɕasu=ne,still know-NEG-1sg:ERG come-IRR-3ps/a=ASS brother=CND,I don’t know yet if my brother will come,A-forms + 1PERSON CONTEXT,Olawsky 2006,Grammar,173,"220, 257, ",,,
urar1246,Urarina,Isolate,-e ,NEG,suffix,v,,PERSON,Kauatɕa-ĩ itɕa-ˀe-i,Good-PRT do-NEG-2ps,You did not do it well,A-forms + 2PERSON CONTEXT,Olawsky 2006,Grammar,486,,,,
urar1246,Urarina,Isolate,-i,NEG,suffix,v,,POLITE,su-naha-ana-i=tɕe=he=ta,Kill-PLO-ILT-NEG:3ps/A=PLT=REP=FRS,It is said that he (my father in law) unfourtunately did not kill them,A-forms NEG:3PERSON,Olawsky 2006,Grammar,457,,,,
urar1246,Urarina,Isolate,-a ,NEG,suffix,v,,PST,ukwana ha-naanaha kwitʉkʉ-a-akaanʉ=lʉ,field make-LPP know-NEG-1pl/ex=REM,We did not know where to male [our] fields,A-forms + 1PERSON CONTEXT // REM= remote past,Olawsky 2006,Grammar,364,70-215,,,
